dep,nomdep,pop2017,propf2017,propf0142017,propf15392017,propf40592017,propf60p2017,prop0142017,prop15392017,prop40592017,prop60p2017,pop2018,propf2018,propf0142018,propf15392018,propf40592018,propf60p2018,prop0142018,prop15392018,prop40592018,prop60p2018,pop2019,propf2019,propf0142019,propf15392019,propf40592019,propf60p2019,prop0142019,prop15392019,prop40592019,prop60p2019,pop2020,propf2020,propf0142020,propf15392020,propf40592020,propf60p2020,prop0142020,prop15392020,prop40592020,prop60p2020,pop2021,propf2021,propf0142021,propf15392021,propf40592021,propf60p2021,prop0142021,prop15392021,prop40592021,prop60p2021,pop2022,propf2022,propf0142022,propf15392022,propf40592022,propf60p2022,prop0142022,prop15392022,prop40592022,prop60p2022
01,AIN,646053,0.50665659,0.48881075,0.49478325,0.50122732,0.54362828,0.19940934,0.29062787,0.27935323,0.23060957,653707,0.50679737,0.48830667,0.49531442,0.50156838,0.54293162,0.19845589,0.28844267,0.27944475,0.23365667,661451,0.50689018,0.48761451,0.49592623,0.50189573,0.54215336,0.19756112,0.28631449,0.27952334,0.23660105,669238,0.50705427,0.48717716,0.49647987,0.50226617,0.54152471,0.1967596,0.28419039,0.27957469,0.23947534,677151,0.5071941,0.48682308,0.49706605,0.50254041,0.54084373,0.19601536,0.28212172,0.27961266,0.24225025,685222,0.50731003,0.48632669,0.49760076,0.50284672,0.54023272,0.19526665,0.28010631,0.27965391,0.24497317
02,AISNE,535317,0.51208723,0.48695481,0.49599549,0.50290596,0.55644977,0.18930839,0.28105778,0.26549128,0.26414254,535096,0.51179975,0.48686364,0.49551359,0.50279534,0.55486059,0.18828584,0.27846405,0.26374519,0.2695049,535217,0.51130289,0.4864935,0.49473912,0.50257576,0.55318296,0.18744174,0.27595162,0.26186013,0.27474651,535806,0.51078564,0.48604324,0.49376091,0.50242615,0.55169904,0.18674482,0.27341241,0.26001203,0.27983075,536769,0.51023626,0.48588955,0.49282041,0.50203174,0.5501498,0.18616202,0.2709024,0.25811663,0.28481898,538165,0.50976747,0.48589668,0.49187648,0.50176984,0.54872,0.18570699,0.26842511,0.25617793,0.28968996
03,ALLIER,338589,0.52253914,0.4899593,0.49626368,0.51367396,0.56235147,0.15236762,0.2387201,0.26717937,0.34173289,338133,0.52251631,0.48868841,0.49605176,0.51531851,0.56085271,0.15177163,0.23632416,0.26507321,0.34683099,337830,0.52252614,0.48733148,0.495983,0.5171808,0.55930507,0.15129207,0.23396087,0.26291329,0.35183376,337651,0.52257508,0.48602629,0.49592197,0.51915127,0.55782992,0.15079771,0.23167117,0.26073074,0.35680038,337650,0.52259439,0.4848139,0.49569404,0.52111065,0.55644011,0.15046054,0.2293825,0.25855768,0.3615993,337854,0.5225867,0.48365548,0.49546555,0.5230304,0.55506086,0.15021577,0.22715729,0.25633261,0.36629432
04,ALPES-DE-HAUTE-PROVENCE,163249,0.51309961,0.4809019,0.49509084,0.51321572,0.54197013,0.15892901,0.24207193,0.27184853,0.32715055,163833,0.51274163,0.48160329,0.49417201,0.51340806,0.54050267,0.15776432,0.24036062,0.27063534,0.33123973,164476,0.51248205,0.48230913,0.49366638,0.51348364,0.53916448,0.15671587,0.23854545,0.26941925,0.33531943,165268,0.51231939,0.48299319,0.49308002,0.5140183,0.53787959,0.15565626,0.23696057,0.26826125,0.33912191,166123,0.51215065,0.48359987,0.49268728,0.5144583,0.53660679,0.15471067,0.23542796,0.26708522,0.34277615,167076,0.51185685,0.48370412,0.49247697,0.51463109,0.53532785,0.15389404,0.23390552,0.26590294,0.3462975
05,HAUTES-ALPES,142073,0.50932264,0.47662216,0.48958826,0.50563097,0.54703557,0.16770253,0.25317267,0.27437302,0.30475178,143087,0.50874645,0.47257861,0.48870379,0.50604391,0.54677182,0.16668181,0.25087535,0.27231684,0.31012601,144162,0.50823379,0.46868587,0.48772869,0.5065428,0.5466224,0.16558455,0.24872018,0.27034864,0.31534663,145322,0.50764507,0.46512404,0.48660192,0.50674152,0.54647416,0.16475138,0.2465284,0.26845214,0.32026809,146578,0.50696558,0.46133688,0.48556674,0.50646096,0.54649842,0.16401507,0.24437501,0.26662254,0.32498738,147898,0.50629491,0.45807281,0.48445785,0.50615174,0.546363,0.16328146,0.24231565,0.26488525,0.32951763
06,ALPES-MARITIMES,1084262,0.52753395,0.48829636,0.50675231,0.51974165,0.5733496,0.15721293,0.27488467,0.26372224,0.30418018,1084768,0.52779025,0.48917755,0.50734282,0.51955581,0.57268173,0.15690175,0.27262142,0.26308668,0.30739015,1085305,0.52804697,0.49000195,0.50795251,0.51937377,0.57205367,0.15662234,0.27036548,0.26243129,0.31058091,1085867,0.52830869,0.49089763,0.50855583,0.51918709,0.57143319,0.15631381,0.26812309,0.26177606,0.31378704,1086485,0.52855951,0.49177107,0.50916141,0.51899093,0.57082456,0.15602976,0.26588035,0.26113015,0.31695974,1087154,0.52881378,0.49266949,0.50976908,0.51878405,0.57024962,0.15578382,0.26364067,0.26046541,0.32011011
07,ARDECHE,326850,0.51302433,0.49343908,0.49900708,0.49874642,0.54754406,0.17090714,0.24342053,0.27579013,0.30988222,328626,0.51301479,0.49463114,0.49921688,0.49835643,0.54642594,0.17031823,0.24091215,0.27494171,0.31382787,330461,0.51301664,0.49592742,0.49942228,0.49812937,0.54519737,0.16978402,0.23833069,0.27419573,0.31768954,332428,0.51296824,0.49699855,0.49950895,0.49774387,0.54420394,0.16937803,0.23584355,0.27333438,0.32144403,334586,0.51288456,0.4982051,0.49944314,0.49741694,0.54313982,0.16901185,0.23346762,0.27248898,0.32503152,336912,0.51276892,0.49926981,0.49945435,0.49696797,0.54214072,0.1686939,0.231185,0.27165255,0.32846856
08,ARDENNES,274511,0.5136115,0.49210906,0.49830362,0.50072759,0.55482513,0.17888901,0.26950103,0.27287433,0.27873564,273679,0.51388305,0.49266815,0.4991475,0.50105697,0.55292541,0.17716742,0.26574197,0.27137268,0.28571793,273057,0.51416373,0.49346665,0.50007689,0.50120705,0.55114019,0.17545055,0.26191235,0.27003154,0.29260558,272667,0.51444805,0.49420899,0.50104409,0.5014472,0.54942602,0.17384209,0.25817207,0.2686207,0.29936516,272452,0.51457506,0.49490047,0.50153607,0.50158036,0.54783779,0.17237899,0.25447786,0.26708558,0.30605757,272481,0.51469642,0.49551329,0.50229746,0.50174093,0.54613966,0.17095503,0.25079179,0.26561853,0.31263465
09,ARIEGE,153288,0.50984424,0.49399549,0.48106667,0.5071823,0.54089308,0.1564506,0.23998617,0.27748421,0.32607901,153773,0.50995296,0.49667934,0.4785859,0.50853586,0.53998697,0.15569054,0.23747993,0.27693418,0.32989538,154383,0.51008207,0.49993739,0.47586358,0.50990862,0.5390684,0.15519196,0.23495463,0.27652007,0.33333334,155190,0.5099104,0.50230873,0.47316477,0.51071227,0.53812867,0.15490045,0.23243766,0.27610028,0.33656162,156119,0.50976497,0.50532156,0.47007522,0.51138002,0.53734159,0.15467048,0.22988874,0.27580243,0.33963835,157232,0.50955278,0.50767267,0.46742684,0.51188362,0.53651881,0.15459321,0.22756818,0.27535743,0.34248117
10,AUBE,310397,0.51717961,0.49434388,0.49694669,0.50722265,0.56255198,0.1822698,0.28277978,0.26004761,0.27490279,311967,0.51785928,0.4949612,0.49844813,0.50726688,0.56231421,0.182577,0.28091434,0.2582677,0.27824098,313662,0.51843065,0.49582615,0.49976575,0.50710946,0.56193238,0.18293896,0.27902329,0.2565054,0.28153235,315618,0.51900399,0.49668428,0.50107431,0.50702912,0.56156909,0.18346862,0.27722752,0.25467494,0.2846289,317752,0.51954353,0.4976753,0.5021593,0.50692654,0.56128871,0.18411213,0.27546009,0.25284812,0.28757963,320075,0.51996565,0.49848637,0.50313842,0.50668722,0.56097692,0.18473482,0.27376083,0.25111926,0.29038507
11,AUDE,370042,0.51680893,0.48240042,0.50454468,0.51241493,0.54654336,0.1620708,0.24528296,0.26479968,0.32784656,372098,0.51653326,0.48073325,0.50497431,0.51259953,0.54532045,0.16082861,0.24258125,0.26321024,0.33337992,374346,0.51623362,0.47914505,0.50548816,0.51262832,0.54411823,0.15972923,0.23996517,0.26156282,0.33874276,376807,0.51592195,0.47751588,0.50573289,0.51282179,0.54303002,0.15875502,0.23747967,0.25986513,0.3439002,379453,0.51550519,0.47591156,0.50583053,0.51294327,0.54184294,0.1579247,0.23503833,0.25817689,0.34886006,382259,0.51518476,0.47446847,0.50598145,0.51305294,0.5408752,0.15712646,0.2326747,0.25653288,0.35366598
12,AVEYRON,280601,0.50754988,0.48467901,0.4810451,0.49344781,0.54756844,0.15549837,0.23774327,0.26651368,0.34024468,282634,0.50682157,0.48472759,0.47991785,0.49272093,0.54615843,0.15521841,0.2359978,0.2651521,0.34363168,284761,0.50621396,0.48480728,0.47869614,0.49219936,0.54502386,0.1549826,0.2343193,0.26380721,0.3468909,287006,0.50548422,0.4849357,0.4773837,0.49143115,0.5438053,0.1549654,0.23262928,0.26247185,0.34993345,289387,0.50482571,0.48493767,0.47621256,0.49095815,0.54255915,0.1549724,0.23097789,0.26121768,0.35283202,291870,0.50428271,0.48517936,0.47517994,0.4904457,0.54150409,0.15500394,0.22942406,0.2599856,0.35558638
13,BOUCHES-DU-RHONE,2028201,0.52127922,0.48675755,0.50726098,0.51939255,0.56328875,0.17782162,0.30142379,0.26226741,0.25848719,2036882,0.52104002,0.4860796,0.50746477,0.51869798,0.56264281,0.17769857,0.29918081,0.2614511,0.26166955,2045583,0.52080899,0.48541942,0.50767469,0.5180186,0.56201327,0.17758116,0.29695788,0.26063132,0.26482964,2054272,0.52057713,0.48475513,0.50788754,0.51734227,0.56139594,0.17745897,0.2947565,0.25982586,0.26795867,2062982,0.52034581,0.48409483,0.50810105,0.51665258,0.56080806,0.17734328,0.29256824,0.25902358,0.27106491,2071715,0.52011013,0.48343509,0.50830418,0.51597625,0.56021976,0.17722611,0.29039997,0.25823146,0.27414244
14,CALVADOS,708156,0.51850015,0.48467132,0.50196654,0.50793469,0.56810641,0.17825733,0.29046282,0.25796434,0.27331549,722255,0.51811481,0.48431292,0.50155872,0.50747728,0.56671035,0.17806593,0.2873542,0.25664341,0.27793646,736518,0.51773888,0.48383233,0.50117218,0.5070194,0.56548584,0.17795084,0.28436914,0.25532302,0.28235698,750978,0.51730013,0.48325795,0.5007143,0.50655872,0.56424099,0.17784277,0.28149161,0.25408867,0.28657696,765670,0.51692635,0.48278117,0.50026941,0.50609171,0.56323069,0.17782988,0.2787219,0.25288048,0.29056773,780675,0.51656449,0.48227942,0.49985385,0.50576156,0.56219864,0.17789477,0.27609825,0.25167194,0.29433504
15,CANTAL,146431,0.50906569,0.49278823,0.47991627,0.4942975,0.546022,0.14298885,0.2251026,0.2796334,0.35227513,146881,0.50791454,0.49135673,0.47747859,0.49511737,0.54340947,0.14296608,0.22173733,0.27817756,0.35711902,147405,0.50677383,0.49058393,0.47450736,0.49574578,0.54111338,0.14301415,0.21861538,0.27667311,0.36169738,148138,0.50564337,0.48992562,0.47167861,0.49638045,0.53877658,0.14339332,0.21558952,0.2750881,0.36592907,148948,0.50452507,0.48921669,0.46908551,0.49682093,0.5365274,0.143822,0.21261111,0.27348471,0.37008217,149894,0.50340909,0.48866895,0.46664122,0.49712884,0.53427494,0.1442486,0.20978825,0.27185878,0.37410438
16,CHARENTE,354447,0.51600665,0.48825338,0.48759091,0.51421481,0.55317056,0.15695718,0.24986528,0.27181214,0.32136539,355855,0.51620179,0.48926181,0.48723736,0.51503652,0.55202174,0.15623218,0.24770764,0.26949179,0.32656839,357482,0.51646799,0.49076855,0.48690552,0.51593584,0.55084175,0.15560225,0.24556482,0.2671687,0.33166426,359272,0.51673383,0.49220222,0.48675653,0.5166989,0.54975271,0.15509419,0.24348405,0.26485783,0.33656394,361261,0.51698631,0.49393472,0.48648092,0.51749301,0.54863566,0.15471363,0.24150683,0.26251933,0.34126019,363499,0.5172559,0.49533111,0.48645359,0.5182147,0.54765427,0.15437731,0.23953573,0.26023179,0.34585515
17,CHARENTE-MARITIME,645728,0.52195662,0.49535295,0.4962053,0.51583308,0.55700707,0.15346245,0.24506758,0.25958917,0.3418808,649388,0.52249193,0.49703225,0.49644837,0.51598024,0.55660051,0.15229262,0.24215262,0.25777194,0.34778285,653114,0.52296996,0.49883524,0.49655071,0.51600283,0.55620992,0.15117116,0.23925991,0.25598747,0.35358146,657048,0.52346706,0.50069439,0.49663281,0.51608598,0.55586481,0.15013058,0.23639369,0.254228,0.35924771,661078,0.52392,0.50245959,0.49676234,0.51613772,0.55547261,0.14913973,0.23360632,0.25247702,0.36477694,665303,0.52437609,0.50410551,0.49677646,0.5162729,0.55519682,0.1482753,0.23080912,0.25077596,0.37013963
18,CHER,306105,0.5147711,0.49043241,0.48862749,0.50406969,0.55611813,0.16235933,0.24661146,0.2697179,0.32131132,305271,0.51486057,0.49065024,0.48833081,0.50358814,0.55595154,0.16221653,0.24352461,0.26794881,0.32631007,304432,0.51489657,0.49086082,0.48813167,0.50298131,0.55565691,0.1620986,0.24051347,0.26608568,0.33130223,303783,0.51487082,0.49080241,0.48779914,0.50235444,0.55543369,0.16212888,0.23742606,0.26424783,0.33619723,303343,0.51481324,0.49058482,0.48759493,0.50177807,0.55508399,0.16228823,0.23438813,0.2623466,0.34097704,303046,0.51477003,0.49034536,0.48759729,0.5011152,0.55474085,0.16251989,0.23146981,0.26038951,0.34562081
19,CORREZE,242193,0.51399088,0.48193067,0.47988367,0.50423038,0.56082094,0.15184171,0.247022,0.26255095,0.33858535,242458,0.51349515,0.47920051,0.47984701,0.50465715,0.55969071,0.1522903,0.24589413,0.25992543,0.34189016,242812,0.51284945,0.47658691,0.47971791,0.50475264,0.55844235,0.152859,0.24468313,0.25736785,0.34509003,243367,0.51235789,0.47420692,0.47973886,0.50515181,0.55727756,0.15349247,0.2435663,0.25482914,0.34811211,243952,0.51179332,0.47200531,0.47971717,0.50543666,0.55598229,0.15433364,0.24231817,0.25220945,0.35113874,244724,0.51123309,0.4695785,0.47956833,0.50580245,0.55490649,0.1552075,0.24119416,0.24964859,0.35394976
21,COTE-D'OR,534306,0.51596278,0.48712966,0.49972966,0.50931841,0.55939996,0.16664982,0.30806503,0.25979683,0.26548833,536331,0.51597053,0.48753053,0.49911609,0.50986844,0.5585205,0.16642335,0.30586708,0.25827706,0.26943249,538743,0.51598072,0.48806322,0.4985638,0.51044047,0.55753607,0.16630749,0.30371809,0.25672352,0.27325088,541470,0.51600271,0.48877066,0.49792627,0.51106173,0.55656356,0.1662733,0.30146268,0.25519234,0.27707168,544542,0.51605386,0.48950401,0.49737325,0.5115338,0.55578232,0.16638938,0.29922393,0.25363702,0.28074971,547979,0.51610005,0.49025685,0.49686021,0.51207381,0.55490452,0.1666031,0.29700044,0.25203338,0.28436309
22,COTES-D'ARMOR,604870,0.51849651,0.4917984,0.49588937,0.50081676,0.56351674,0.17234778,0.23990445,0.26213071,0.32561707,609462,0.51882482,0.49285659,0.49709645,0.50064766,0.56224614,0.17181055,0.23677604,0.26094162,0.33047178,614169,0.5191682,0.49395266,0.49840114,0.50043571,0.5610525,0.17137465,0.23371254,0.25970864,0.33520415,618924,0.51948702,0.49490568,0.49966034,0.50023437,0.55995703,0.1709483,0.23071492,0.25849861,0.33983818,623834,0.51977289,0.49586481,0.50094306,0.50002491,0.55882984,0.17056461,0.22777534,0.25732806,0.34433198,629030,0.52000064,0.49666667,0.5019359,0.49995345,0.55778134,0.17026214,0.22500993,0.25609431,0.34863362
23,CREUSE,119519,0.51185167,0.48581323,0.47515282,0.50536078,0.5457111,0.13771032,0.21079494,0.2661083,0.38538644,119377,0.51176524,0.48703784,0.47319198,0.50729775,0.54390991,0.13797465,0.20779547,0.26228669,0.39194319,119376,0.51171088,0.48886064,0.47089818,0.50947678,0.54213852,0.13836952,0.20509148,0.25855282,0.3979862,119495,0.51148582,0.49021968,0.46856245,0.5113737,0.54036802,0.13904348,0.20217583,0.2549479,0.40383279,119755,0.51126051,0.4921847,0.46626768,0.51323962,0.5385102,0.13996911,0.19952403,0.25133815,0.40916872,120178,0.51118344,0.49355716,0.46476552,0.51537013,0.53673279,0.14077452,0.19695784,0.24794887,0.41431877
24,DORDOGNE,417634,0.5193423,0.48635983,0.49469578,0.51871991,0.54867607,0.14561315,0.22525944,0.27039945,0.35872799,420360,0.51931918,0.48529196,0.49478778,0.52016705,0.54730159,0.1450019,0.22272813,0.26883149,0.36343849,423252,0.51931947,0.48451063,0.49492642,0.52156156,0.54596591,0.1445262,0.22026594,0.26725921,0.36794865,426407,0.51923162,0.48376918,0.49484903,0.52276802,0.54471457,0.14420027,0.21785524,0.26569685,0.37224764,429848,0.51901835,0.48280093,0.49470663,0.52385944,0.54341173,0.14405558,0.21557155,0.26404217,0.3763307,433626,0.51872581,0.48175675,0.49447855,0.52481133,0.54214376,0.14398122,0.21342815,0.26252809,0.38006255
25,DOUBS,541140,0.50953174,0.48188373,0.4931882,0.50708854,0.55303895,0.18580219,0.31048712,0.25469935,0.24901135,544132,0.50957119,0.48122922,0.49314481,0.50744206,0.55255979,0.18563142,0.30789772,0.25386119,0.25260967,547435,0.50963676,0.48045093,0.49306399,0.5079987,0.55216616,0.18552887,0.3053714,0.25303826,0.25606146,550897,0.50967425,0.47980896,0.49307603,0.50832146,0.55169135,0.18546842,0.30280071,0.25216693,0.25956395,554578,0.50972629,0.47934994,0.49298084,0.50856435,0.5514006,0.18551223,0.30030763,0.25128475,0.26289541,558422,0.50978827,0.47880584,0.49292234,0.50890189,0.55109704,0.18558903,0.29779989,0.25045216,0.26615894
26,DROME,511940,0.51408172,0.49083188,0.49262384,0.50998652,0.5546065,0.18674649,0.27157283,0.26405829,0.27762237,516226,0.51369554,0.49106994,0.49125984,0.50945336,0.55412668,0.18655396,0.26962027,0.26229209,0.28153366,520615,0.5133006,0.49143529,0.489869,0.5088622,0.55360979,0.18636805,0.2677103,0.26052266,0.28539899,525067,0.51288885,0.49155766,0.48848453,0.50829953,0.55316782,0.18622576,0.2658613,0.2587308,0.28918216,529629,0.51254743,0.49180445,0.48720992,0.50780576,0.55274135,0.18614917,0.26402444,0.25700444,0.29282194,534348,0.51230282,0.49235395,0.48595491,0.50738609,0.55238068,0.186139,0.2622261,0.25527373,0.29636118
27,EURE,612082,0.51355702,0.49121743,0.50004089,0.50492585,0.55626398,0.19960397,0.27987427,0.27246839,0.24805337,621469,0.51404655,0.49199986,0.50012213,0.50517178,0.55625606,0.19912176,0.27668637,0.2717706,0.25242129,630881,0.51451224,0.49292448,0.50016797,0.50545955,0.55608261,0.19870943,0.27363321,0.27102575,0.25663161,640598,0.51494229,0.49363384,0.50023073,0.50569451,0.55602264,0.19837402,0.2706596,0.27029431,0.26067206,650496,0.5153237,0.49441811,0.50024974,0.5058344,0.55591524,0.19815494,0.26778489,0.26954815,0.264512,660683,0.51563609,0.49493188,0.50029135,0.50599027,0.55575055,0.19800419,0.26495612,0.26884604,0.26819366
28,EURE-ET-LOIR,436832,0.51290888,0.49368882,0.49898621,0.50427002,0.55045968,0.19387545,0.27322632,0.27019998,0.26269823,439792,0.51339954,0.49457476,0.49925771,0.5045777,0.55005515,0.1930026,0.26956379,0.26946601,0.26796758,442851,0.51392001,0.49557865,0.49949488,0.50484532,0.54981887,0.19228815,0.2659969,0.2686705,0.27304444,446122,0.51441312,0.49652639,0.49973518,0.50517118,0.5494954,0.1916561,0.26239458,0.26788187,0.27806744,449508,0.5149408,0.49740419,0.50004297,0.50550538,0.54931915,0.19111562,0.25882521,0.26710093,0.28295827,453084,0.51543862,0.49830478,0.50024629,0.50597626,0.54905152,0.19073506,0.2553809,0.26627293,0.28761113
29,FINISTERE,911269,0.51381534,0.4869214,0.48405865,0.49977794,0.57004237,0.16877672,0.27067089,0.26933759,0.29121476,914162,0.51353592,0.48634842,0.4837482,0.49991849,0.5683164,0.16767159,0.26816034,0.26841414,0.29575393,917115,0.51328456,0.48585287,0.48343301,0.50011009,0.56665468,0.16659525,0.26566678,0.26748446,0.30025351,920115,0.51300871,0.4853138,0.48305449,0.50027728,0.56506789,0.16554452,0.26321492,0.26653841,0.30470213,923211,0.51274735,0.48489237,0.48262715,0.50047314,0.56353068,0.16450952,0.26080495,0.26557526,0.30911025,926365,0.51250207,0.48450136,0.48223355,0.50065267,0.56206393,0.16350466,0.25841218,0.26462355,0.3134596
2A,CORSE-DU-SUD,155967,0.51569885,0.48005715,0.51224852,0.50826484,0.54416335,0.1525515,0.26958266,0.28082862,0.29703718,157674,0.51574767,0.47947374,0.51322377,0.50799549,0.5436247,0.15232696,0.2673808,0.28000811,0.30028412,159361,0.51581627,0.4791598,0.51421613,0.50773382,0.54300952,0.15205728,0.26528448,0.27911472,0.30354354,161063,0.51588511,0.4786129,0.5150786,0.50744969,0.54268479,0.15182878,0.26311442,0.27836314,0.30669364,162767,0.51590925,0.47828376,0.51606447,0.50717068,0.54203033,0.15164007,0.26101729,0.27759928,0.30974337,164491,0.51607078,0.47783846,0.51702529,0.50705093,0.54177356,0.15142469,0.25905976,0.27676895,0.31274658
2B,HAUTE-CORSE,177652,0.51257515,0.48696727,0.50166601,0.50829595,0.54086065,0.15505596,0.28211898,0.27242586,0.29039919,179203,0.51338983,0.48835289,0.50345558,0.50941497,0.53976667,0.15547173,0.27937034,0.27145752,0.29370043,180712,0.51431561,0.49009302,0.5055176,0.51037019,0.53883439,0.15583913,0.27680507,0.27054098,0.29681483,182288,0.51514637,0.49154684,0.50725508,0.51163924,0.53781849,0.15640086,0.27409923,0.26959535,0.29990456,183866,0.51594096,0.49311745,0.50922382,0.51252884,0.53680825,0.1568588,0.27152926,0.26870656,0.30290538,185444,0.51673281,0.49457026,0.51106614,0.51356143,0.53590322,0.1574114,0.26898685,0.2678059,0.30579582
30,GARD,746815,0.51766634,0.49081191,0.49905065,0.51640391,0.55205703,0.17437117,0.26798338,0.26663765,0.29100782,751636,0.51751781,0.49112535,0.4981806,0.51649272,0.55125546,0.17337514,0.26580819,0.26479173,0.29602495,756553,0.51737154,0.49128145,0.49733552,0.51666188,0.55049634,0.1724519,0.26366559,0.26293862,0.30094388,761608,0.51719254,0.49148664,0.49646115,0.51679581,0.54968995,0.17158039,0.26157552,0.26106474,0.30577934,766813,0.51704133,0.49163648,0.49569106,0.51693344,0.54894501,0.17074046,0.2595222,0.25922617,0.31051117,772082,0.51682985,0.49161401,0.49481201,0.5170635,0.54823303,0.16997029,0.25751799,0.25739235,0.31511939
